ASVid,Kingdom,Phylum,Class,Order,Family,Genus
13984,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13985,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13986,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13987,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13990,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
13992,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella
13993,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella
13995,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella
13996,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella
13997,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Ekhidna
13998,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Ekhidna
14002,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_ge
14005,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
14006,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
14007,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
14011,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14012,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14013,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14014,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14015,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14017,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14019,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14020,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14021,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae_ge
14026,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14028,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14029,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14035,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14039,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14041,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14042,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Alphaproteobacteria_Incertae_Sedis_fa,Alphaproteobacteria_Incertae_Sedis_ge
14045,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14046,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14047,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14048,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14049,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14050,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14051,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14052,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
14057,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
14058,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14059,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14060,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14061,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14062,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14065,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14066,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
14067,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobiaceae_ge
14068,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobiaceae_ge
14069,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OCS116_clade,OCS116_clade_ge
